,Country,City,Date,Max Temp,Cloudiness,Humidity,Lat,Lng,Wind Speed
338,BR,Cabedelo,1651624021,79.47,58,84,-6.9811,-34.8339,12.88
339,CL,Talcahuano,1651623741,56.88,21,88,-36.7167,-73.1167,6.91
340,CA,Sept-Îles,1651624022,41.0,20,60,50.2001,-66.3821,5.75
341,VU,Isangel,1651624022,86.11,14,70,-19.55,169.2667,5.75
342,NA,Henties Bay,1651624023,66.02,0,67,-22.116,14.2845,4.0
343,RW,Kibuye,1651624024,64.4,41,86,-2.0597,29.3482,4.65
344,IS,Vestmannaeyjar,1651624024,40.71,73,79,63.4427,-20.2734,23.76
345,NC,Vao,1651624025,75.79,58,77,-22.6667,167.4833,20.51
346,US,Mendota,1651624025,79.07,41,12,36.7536,-120.3816,11.23
347,BB,Bathsheba,1651624026,79.41,40,89,13.2167,-59.5167,14.97
348,AU,Roebourne,1651624026,81.55,0,49,-20.7833,117.1333,15.3
349,AT,Himberg,1651624027,57.25,0,76,48.0644,16.448,4.61
350,MX,Guerrero Negro,1651624028,63.05,100,72,27.9769,-114.0611,19.95
351,VC,Chateaubelair,1651624028,78.13,20,82,13.2833,-61.25,11.79
352,BO,Villazón,1651624029,47.34,0,10,-22.0866,-65.5942,6.15
353,NO,Beisfjord,1651624029,26.65,99,95,68.3751,17.5988,5.3
354,AU,Mackay,1651624030,78.78,40,78,-21.15,149.2,11.5
